student_id,course_code,course_name,attendance_pct,internal_marks,midterm_marks,final_assessment_marks,total_marks,passed
STU101,CS301,Data Structures & Algorithms,90.2,23.9,23.9,31.9,79.8,True
STU101,CS302,Design & Analysis of Algorithms,92.8,23.1,23.1,30.8,77.1,True
STU101,CS303,Database Management Systems,92.6,24.5,24.5,32.7,81.8,True
STU101,CS304,Operating Systems Principles,90.5,24.8,24.8,33.1,82.8,True
STU101,CS305,Computer Networks & Protocols,87.5,24.9,24.9,33.2,83.0,True
STU102,CS301,Data Structures & Algorithms,82.3,22.0,22.0,29.4,73.4,True
STU102,CS302,Design & Analysis of Algorithms,84.9,21.9,21.9,29.2,73.0,True
STU102,CS303,Database Management Systems,81.6,22.1,22.1,29.5,73.7,True
STU102,CS304,Operating Systems Principles,80.8,22.6,22.6,30.1,75.2,True
STU102,CS305,Computer Networks & Protocols,80.4,23.2,23.2,30.9,77.2,True
STU103,CS301,Data Structures & Algorithms,91.8,25.6,25.6,34.2,85.5,True
STU103,CS302,Design & Analysis of Algorithms,96.0,27.1,27.1,36.2,90.4,True
STU103,CS303,Database Management Systems,96.4,26.9,26.9,35.9,89.7,True
STU103,CS304,Operating Systems Principles,94.0,25.3,25.3,33.8,84.5,True
STU103,CS305,Computer Networks & Protocols,97.0,25.4,25.4,33.9,84.8,True
STU104,CS301,Data Structures & Algorithms,65.0,14.4,14.4,19.2,48.0,False
STU104,CS302,Design & Analysis of Algorithms,62.0,13.5,13.5,18.0,45.0,False
STU104,CS303,Database Management Systems,72.0,17.4,17.4,23.2,58.0,True
STU104,CS304,Operating Systems Principles,70.0,18.0,18.0,24.0,60.0,True
STU104,CS305,Computer Networks & Protocols,71.0,18.8,18.8,25.0,62.5,True
STU105,CS301,Data Structures & Algorithms,88.2,22.9,22.9,30.6,76.5,True
STU105,CS302,Design & Analysis of Algorithms,90.7,23.6,23.6,31.4,78.6,True
STU105,CS303,Database Management Systems,91.7,24.3,24.3,32.4,81.1,True
STU105,CS304,Operating Systems Principles,87.1,23.9,23.9,31.9,79.7,True
STU105,CS305,Computer Networks & Protocols,90.9,24.5,24.5,32.7,81.7,True
STU106,CS301,Data Structures & Algorithms,88.6,26.3,26.3,35.1,87.8,True
STU106,CS302,Design & Analysis of Algorithms,85.6,26.2,26.2,34.9,87.3,True
STU106,CS303,Database Management Systems,85.6,25.4,25.4,33.9,84.7,True
