assignment_id,student_id,course_code,assignment_num,status,score,submission_delay_days,due_week
ASN_STU101_01,STU101,CS301,1,submitted,94,0,1
ASN_STU101_02,STU101,CS302,2,submitted,87,0,1
ASN_STU101_03,STU101,CS303,3,submitted,87,0,1
ASN_STU101_04,STU101,CS304,4,submitted,89,0,1
ASN_STU101_05,STU101,CS305,5,submitted,89,0,1
ASN_STU101_06,STU101,CS301,6,submitted,86,0,2
ASN_STU101_07,STU101,CS302,7,submitted,96,0,2
ASN_STU101_08,STU101,CS303,8,submitted,94,0,2
ASN_STU101_09,STU101,CS304,9,submitted,97,0,2
ASN_STU101_10,STU101,CS305,10,submitted,90,0,2
ASN_STU101_11,STU101,CS301,11,submitted,89,0,3
ASN_STU101_12,STU101,CS302,12,submitted,90,0,3
ASN_STU101_13,STU101,CS303,13,submitted,85,0,3
ASN_STU101_14,STU101,CS304,14,submitted,89,0,3
ASN_STU101_15,STU101,CS305,15,submitted,93,0,3
ASN_STU101_16,STU101,CS301,16,submitted,96,0,4
ASN_STU101_17,STU101,CS302,17,submitted,94,0,4
ASN_STU101_18,STU101,CS303,18,submitted,98,0,4
ASN_STU101_19,STU101,CS304,19,submitted,86,0,4
ASN_STU101_20,STU101,CS305,20,submitted,85,0,4
ASN_STU102_01,STU102,CS301,1,submitted,99,0,1
ASN_STU102_02,STU102,CS302,2,submitted,92,0,1
ASN_STU102_03,STU102,CS303,3,submitted,90,0,1
ASN_STU102_04,STU102,CS304,4,submitted,98,0,1
ASN_STU102_05,STU102,CS305,5,submitted,94,0,1
ASN_STU102_06,STU102,CS301,6,submitted,96,0,2
ASN_STU102_07,STU102,CS302,7,submitted,91,0,2
ASN_STU102_08,STU102,CS303,8,submitted,98,0,2
ASN_STU102_09,STU102,CS304,9,submitted,92,0,2
ASN_STU102_10,STU102,CS305,10,submitted,86,0,2
ASN_STU102_11,STU102,CS301,11,submitted,97,0,3
ASN_STU102_12,STU102,CS302,12,submitted,94,0,3
ASN_STU102_13,STU102,CS303,13,submitted,98,0,3
ASN_STU102_14,STU102,CS304,14,submitted,95,0,3
ASN_STU102_15,STU102,CS305,15,submitted,92,0,3
ASN_STU102_16,STU102,CS301,16,submitted,87,0,4
ASN_STU102_17,STU102,CS302,17,submitted,91,0,4
ASN_STU102_18,STU102,CS303,18,submitted,87,0,4
ASN_STU102_19,STU102,CS304,19,submitted,99,0,4
ASN_STU102_20,STU102,CS305,20,submitted,91,0,4
ASN_STU103_01,STU103,CS301,1,submitted,97,0,1
ASN_STU103_02,STU103,CS302,2,submitted,88,0,1
ASN_STU103_03,STU103,CS303,3,submitted,93,0,1
ASN_STU103_04,STU103,CS304,4,submitted,88,0,1
ASN_STU103_05,STU103,CS305,5,submitted,94,0,1
ASN_STU103_06,STU103,CS301,6,submitted,87,0,2
ASN_STU103_07,STU103,CS302,7,submitted,93,0,2
ASN_STU103_08,STU103,CS303,8,submitted,97,0,2
ASN_STU103_09,STU103,CS304,9,submitted,86,0,2
ASN_STU103_10,STU103,CS305,10,submitted,99,0,2
ASN_STU103_11,STU103,CS301,11,submitted,88,0,3
ASN_STU103_12,STU103,CS302,12,submitted,99,0,3
ASN_STU103_13,STU103,CS303,13,submitted,90,0,3
ASN_STU103_14,STU103,CS304,14,submitted,86,0,3
ASN_STU103_15,STU103,CS305,15,submitted,99,0,3
ASN_STU103_16,STU103,CS301,16,submitted,92,0,4
ASN_STU103_17,STU103,CS302,17,submitted,92,0,4
ASN_STU103_18,STU103,CS303,18,submitted,85,0,4
ASN_STU103_19,STU103,CS304,19,submitted,96,0,4
ASN_STU103_20,STU103,CS305,20,submitted,87,0,4
ASN_STU104_01,STU104,CS301,1,missed,0,-1,1
ASN_STU104_02,STU104,CS302,2,missed,0,-1,1
ASN_STU104_03,STU104,CS303,3,late,65,5,1
ASN_STU104_04,STU104,CS304,4,late,65,5,1
ASN_STU104_05,STU104,CS305,5,late,65,5,1
ASN_STU104_06,STU104,CS301,6,late,65,5,2
ASN_STU104_07,STU104,CS302,7,submitted,85,0,2
ASN_STU104_08,STU104,CS303,8,submitted,85,0,2
ASN_STU104_09,STU104,CS304,9,submitted,85,0,2
ASN_STU104_10,STU104,CS305,10,submitted,85,0,2
ASN_STU104_11,STU104,CS301,11,submitted,85,0,3
ASN_STU104_12,STU104,CS302,12,submitted,85,0,3
ASN_STU104_13,STU104,CS303,13,submitted,85,0,3
ASN_STU104_14,STU104,CS304,14,submitted,85,0,3
ASN_STU104_15,STU104,CS305,15,submitted,85,0,3
ASN_STU104_16,STU104,CS301,16,submitted,85,0,4
ASN_STU104_17,STU104,CS302,17,submitted,85,0,4
ASN_STU104_18,STU104,CS303,18,submitted,85,0,4
ASN_STU104_19,STU104,CS304,19,submitted,85,0,4
ASN_STU104_20,STU104,CS305,20,submitted,85,0,4
ASN_STU105_01,STU105,CS301,1,submitted,99,0,1
ASN_STU105_02,STU105,CS302,2,submitted,92,0,1
ASN_STU105_03,STU105,CS303,3,submitted,91,0,1
ASN_STU105_04,STU105,CS304,4,submitted,93,0,1
ASN_STU105_05,STU105,CS305,5,submitted,91,0,1
ASN_STU105_06,STU105,CS301,6,submitted,87,0,2
ASN_STU105_07,STU105,CS302,7,submitted,87,0,2
ASN_STU105_08,STU105,CS303,8,submitted,99,0,2
ASN_STU105_09,STU105,CS304,9,submitted,92,0,2
ASN_STU105_10,STU105,CS305,10,submitted,89,0,2
ASN_STU105_11,STU105,CS301,11,submitted,88,0,3
ASN_STU105_12,STU105,CS302,12,submitted,92,0,3
ASN_STU105_13,STU105,CS303,13,submitted,99,0,3
ASN_STU105_14,STU105,CS304,14,submitted,90,0,3
ASN_STU105_15,STU105,CS305,15,submitted,86,0,3
ASN_STU105_16,STU105,CS301,16,submitted,88,0,4
ASN_STU105_17,STU105,CS302,17,submitted,96,0,4
ASN_STU105_18,STU105,CS303,18,submitted,95,0,4
ASN_STU105_19,STU105,CS304,19,submitted,88,0,4
ASN_STU105_20,STU105,CS305,20,submitted,99,0,4
ASN_STU106_01,STU106,CS301,1,submitted,99,0,1
ASN_STU106_02,STU106,CS302,2,submitted,85,0,1
ASN_STU106_03,STU106,CS303,3,submitted,94,0,1
ASN_STU106_04,STU106,CS304,4,submitted,98,0,1
ASN_STU106_05,STU106,CS305,5,late,80,2,1
ASN_STU106_06,STU106,CS301,6,submitted,89,0,2
ASN_STU106_07,STU106,CS302,7,submitted,98,0,2
